id	text	misogynous	misogyny_category	target
573	What's the polite way to say 'don't eat too much today cause I'm not tryin to get shit dick when I fuck you in the ass later'	1	sexual_harassment	passive
1495	Oh btw just to offend the femalesss CUNT CUNT CUNT WHORE CUNT WHORE SLUT BITCHSLUT FEMINISTSHIT	1	discredit	passive
3022	Shoutout to everyone accidentally blowing fingers off on video today so we can all have a good laugh tomorrow... Y'all patriotic AF	0	0	0
69	@tariqnasheed White woman are so quick to claim rape, so how about you black sisters? We rarely heard you!	1	discredit	passive
2178	@miidnighthour i mean, i know that 😂😂😂 i spent 8 weeks learning about them but my anxiety is like NOPE BITCH BE SCARED HOE	0	0	0
3026	Pathetic is not attractive	0	0	0
2459	#press #news #blog #army #sex Once a month, a man of action is highlighted. Check it out today. http://t.co/DapbomSQnA	0	0	0
3325	lol this literally doesn't do shit. Maybe learn how you can be better? 'Not all men' is such a fucking cop out https://t.co/SDpnhyY80R	0	0	0
1264	@chaeltz07 i've seen this skank thot basic bitch IG trash before. Her videos are the worst. Such a prostitute	1	discredit	active
391	Females are always crying out 'sexism.' Don't they know it goes both ways? Men are suffering every day!	1	derailing	passive
3710	'not all men hurt women but all women are hurt by men' tattoo that on ur tits and fuck them	0	0	0
1188	There's two types of hoes out here https://t.co/OwbcgzOrFD	1	discredit	passive
2332	And the a&&hole Bannon thinks we are all stupid https://t.co/cITcb3d4We	0	0	0
2860	RT @AnnaDale32: Lol when you have two girlfriends @Yourfuckboy1 #huntermourer https://t.co/Bd8VcuYOB7	0	0	0
3550	My walk past you like I never fucked your girl game strong AF	0	0	0
1532	When I make it ain't no White bitch letting me rape her they won't get this black man	1	discredit	passive
947	@LilyEvans_30 - further away and didn't see what was wrapped in the bundle that the hysterical woman cradled. 'But I'm not going to -	1	stereotype	active
3133	This is the only time I feel safe leaving my phone face up https://t.co/iS4mSRY4sR	0	0	0
1815	@PrideofGypsies a bunch of people who can’t separate a character you play, from the real world, are moaning that you “glamourise rape”, ugh!	0	0	0
1876	@ChadButlerJr You a lie and your barber a hoe too nigga your line up looking like a serrated knife	0	0	0
1477	the next song tried to play but bitch I ain't over fire away yet give me a minute to recover cunt	1	sexual_harassment	active
2323	@ERInternational i am looking for bulk seller for cpu and ssd and ram . pls contact me if you have stock .	0	0	0
3621	If you hit a woman you are a cunt. And you should have your arm broken, in 3 places.	0	0	0
2348	@BBCSport Garth crooks is a stupid fat Ozil looking cunt	0	0	0
2834	Friend- you really need to chill on the drinking and sleeping around Me- https://t.co/SfPfJxhYzd	0	0	0
938	I'm sorry but c'mon if women were as hysterical as men we'd have them all in interment camps until we figured this shit out.	1	stereotype	passive
880	@queensoverbitch and we're smarter than that bitch	1	discredit	active
282	@LislAK @rosemcgowan @dailynation I've noticed. Not all men are raping or harassing women but unfortunately that's… https://t.co/Ezrko0knA2	1	sexual_harassment	passive
1890	FUCK YOU HARVEY WEINSTEIN! Anyone who has suffered from rape and I mean all. Lock him up. I stayed silent for 24 hours. Going sue me HW?	0	0	0
2301	@dvated401 @FoxNews @JudgeJeanine A “man” who calls a woman a bitch or ho needs a good slap in the face with a crowbar! Old school Italian, respect women! Cheers🥂	0	0	0
3984	@childofjudas biTCH I LOTERALLY WAS THIS YOU NEVER TRUSTED MY DRIVING ENOUGH CUNT WHORE BITCH	0	0	0
1659	This bitch always want us to do work that ain’t even for a grade. Hoe, a bitch don’t do this for our health.	1	discredit	active
3483	The most filled with misogyny (calling women hysterical for the #MeToo movement) and victim blaming s*it. Why does… https://t.co/nfCJ71Ris3	0	0	0
2533	If all of you ex's are psychotic nut jobs... Congratulations, you have good dick my friend	0	0	0
1930	Tell you one thing-- I've seen more'n enough dick and balls tonight to last me a lifetime.	0	0	0
792	@Peartopear @percoIator @Forslaytion Weird bummy ass bitch block me back whore 😂😂	1	discredit	active
2579	Pro Tip- Stop waiting for me to care, it's not gonna to happen	0	0	0
1936	Society always tryna make you believe you gotta be a hoe to have fun. Fuck that shit	0	0	0
1180	Girls that send me dirty snaps, DMs and texts, keeping my cock hard all day, is the reason I love my life. Thanks, ya dirty lil sluts	1	stereotype	passive
1470	@menzemerized_ Worse i have proof. A picture i took of you and one you took of me on the same night. Useless ungreatful kunt!	1	discredit	active
2781	When you cut her off and the dick is bomb https://t.co/44eRIbKkGx	0	0	0
2714	She wanna be a stingray so bad https://t.co/2IDEUZPlYc	0	0	0
4013	So a woman shouldn't be questioned if you does a 'Bobbitt on him in his sleep! Women are stupid to let ANY man bea… https://t.co/hv7BcGXVvU	1	discredit	passive
1464	From #MeToo to Who Me? Where Are White Women Allies When A Black Woman is Called a Whore? https://t.co/aNtYGiCrcq	1	derailing	passive
1672	@butwhybewhy First of all bitch fuck u, second of all we BOTH hoes 😴	1	discredit	active
227	All women have the incredible ability to determine if another woman is a bitch based solely on her shoes.	1	stereotype	passive
4033	doesnt make u better than anybody else, its about what you do and that a silly title based on GPA is ridiculous and absolutely hysterical	0	0	0
3735	@realDonaldTrump Not all men feel the need to attack women you know. Have you attacked the women you work with???	0	0	0
3200	if you’re really gonna sit and bitch about women hating on men for raping and harassing them, please exit my life immediately and forever	0	0	0
3676	@Anti_Jihadist @alAssad944 @TomtheBasedCat here's my point you dog of assad son of whore father of slut https://t.co/QDBVik6wU3	0	0	0
1691	If she dressed like a hoe in the cold she a real Whore ✋🏾😂😭	1	discredit	active
324	RT @JWMofficial: If you play field hockey there's a good chance you're a lesbian.	1	stereotype	active
671	Good morning sweet peeps! Woke up to see that Gini blocked me! Her lost the stupid bitch! Have a good day all! I know I will! 🤗😘💕🌠💖	1	discredit	active
504	@Nichiey_Okeyo @JOdhiambos okeyo, go rape your whore of a mother!	1	sexual_harassment	active
817	@HillaryClinton shut up bitch no one fucking likes you! Suck start a shotgun worthless cunt	1	dominance	active
385	Powerful men in Hollywood have been preying on women because that's how lots of men are built ... so says Dick Wolf. https://t.co/fgPOxN8O0f	1	dominance	passive
2665	When you bust a nut in 30 seconds https://t.co/0SkQzvvtT9	0	0	0
1285	If u walk away from a down ass woman for a skank then u deserve what u get. U can’t turn a how into a house wife so… https://t.co/XteHNt3pa0	1	discredit	passive
3398	@thehill The only way the skank will be president...Have fun all you resistance nut jobs..	0	0	0
815	@RelleSaidSo703 Girl the hoe is dumb.	1	discredit	active
3033	When you think you finally found the one, then you find out he cries after he cums https://t.co/YVplrt2C8j	0	0	0
3114	My life was really headed in the right direction before I started drinking... At the age of 10...	0	0	0
2697	Daaaaaaaaaaaaaaaamn @Scouse_ma back at it again with some more drunken tweets 🌚	0	0	0
3889	Hey Guys. It’s ok for her to say no. Stop calling women Bitches for declining your advances. Doesn’t matter the tim… https://t.co/Uy0KetAQBm	0	0	0
3629	@NFLonFOX He’s still a woman beater #cunt	0	0	0
1607	Women want u to automatically believe women who scream rape they don't understand our position....	1	derailing	passive
2461	http://t.co/6n4V9kBtya See the monthly post, that highlights men of action. Men's rights are here! #CallMeCam #MenRights #shrewculture	0	0	0
274	Don't you hate when bitches act like sluts but aren't even down? Like that bitch from American Beauty.	1	sexual_harassment	passive
2426	@b00berella what does the word 'Parody', clearly stated in the bio, mean to you?	0	0	0
698	He was being nice and cool. You were Being an attention whore. Next time explicitly say you’re not interested instead of flexing for Twitter https://t.co/96IJ7u0IjA	1	discredit	active
1174	Your slutty Christmas outfits should get you a good 45 likes on instagram. #Whore	1	discredit	active
2429	@asianwasted we're not just objects that entertain you, we have feelings too! #YesAllMen	0	0	0
3827	@RageGearProps Um excuse you I am a twank, a twink and a skank	0	0	0
3027	RT @Scouse_ma: 😂😂😂 https://t.co/ueBm0enQzH	0	0	0
3368	@DanielleMuscato Everything i would've have done even without the curfew, which is really stupid not all men are dangerous	0	0	0
1596	And then some bent cunt turns up for a flyer.....last time on this shit hole!	1	discredit	passive
1652	The only hoe I trust is that bitch Nina.	1	discredit	active
138	lol, chop her head off and rape the bitch https://t.co/ZB8CosmSD8	1	sexual_harassment	active
4010	Women are stupid. They get cheated on and approach and fight the side chic. Bitch who cheated on you? Who? Stupidity is unbelievable.	1	discredit	passive
1021	@LaRoccaSpeaks sack up and talk to her pussy #WomenSuck	1	stereotype	active
2140	FUCK OFF REF. Martial was held back. U stupid cunt. What the fuck is wrong with you?	0	0	0
813	@Bubbleuwu Do I have to fight another bitch ass looking cunt today?	1	discredit	passive
3650	I'm the nicest fucking person but if you come at me calling me a slut and such for having an opinion I will be a bitch to you. Not sorry.	0	0	0
244	listen here dumb fucker you dont call rania “whore” and youre the only crazy bitch here😘 deactivate pls bc nobody c… https://t.co/FySbYz007a	1	discredit	active
427	@_amanda_lol @inlistalex Ok bitch stfu now get over it suck a dick ride a dick choke on a dick and die	1	sexual_harassment	active
2695	FFS!! That sounds as good as his grammar 🌚 https://t.co/XRG0g33u5x	0	0	0
2283	@TalbertSwan @realDonaldTrhmp @realDonaldTrump You missed the alleged rape (multiple) of a 13yr girl who dropped case amidst death threats to herself and family. Jane doe vs Donald Trump	0	0	0
470	@xJenniferWhitex @thecherryclub You are Beautiful charming Bitch Jennifer white Nobody's fuck like you Amazing sucking Cocks 💝💝💝👑👑👑👑👑👑	1	sexual_harassment	active
44	my girl left early in the morning holler bout she going to get her hair done bitch i ain’t dumb	1	discredit	active
1004	@bad__TEMPER girls are attention whores #WomenSuck	1	discredit	passive
1990	Nah If i kiss my girl my dick gonna get hard &; im tryna fck 🤷🏻‍♀️ You sleep !! https://t.co/4KNYEJAaB5	0	0	0
3115	Instagram tryin to be like snapchat is about as pointless as their 'help center' have a fucking seat IG	0	0	0
2569	When I'm trying to get my life together https://t.co/rVbYluTfGH	0	0	0
1146	There was a time in my life when i really enjoyed talking to girls, now i hope they all get cancer #WomenSuck	1	discredit	passive
2385	You can't have sex with a personality	0	0	0
2260	@bwadelvis3232 @curtiswoodhous8 Curt you slag stones off constantly 😂	0	0	0
293	Apparently, you /can/ turn a hoe into a housewife	1	stereotype	passive
1939	My family’s idea of a merienda for this moment is siopao. They really hate me. Me: *calls Tim Ho Wan* Do you deliver in elyu? 😢	0	0	0
3232	Twitter just emailed me that the men trolling & name calling me off #MeToo ht didn't violate TOS. I'm just another whiny bitch cunt, then.😑	0	0	0
2718	My friends know better https://t.co/UROtGwsIlP	0	0	0
107	@PressStartKofi You a whore	1	discredit	active
2146	How can you slag someone off so much and then be best friends the next minute 😂😂😂	0	0	0
61	Me: h- Lana Del Dey: I’m a dragon you’re a whore bitch	1	discredit	active
2787	When you're at your ugly friends bachelorette party and you can't even get a text back https://t.co/k5pJA7WoG5	0	0	0
2403	@LeviathanPride thank you for your support! We'd love it if you came to our next meeting #MaleDominance	0	0	0
2608	When you know you're a piece of shit and own it like a boss https://t.co/petlkuV0N9	0	0	0
1281	Let’s me honest, Jews offer things and the white women are just skanks. Muslims gang rape and beat white women. https://t.co/sKz3V5wDrm	1	discredit	passive
1717	It’s like women can’t wait to be a hoe when the relationship ends	1	discredit	passive
3428	@CCriadoPerez @Natasha_Walter @helenlewis I can't help suspecting it's deliberate. If we women are hysterical, conf… https://t.co/LPjhU6N1Wy	0	0	0
3254	I was called a whore and slut and accused of doing all kinds of shit when I was definitely a whole virgin.	0	0	0
3366	@ThatSableGuy The movement is good, the underlying negativity behind not all men is stupid and bad.. but posts defaming all men is also bad	0	0	0
2416	RT @garagefire: #yesallmen followed you	0	0	0
113	lil is beautiful, gays are cute, i'm very strong, and you're stupid bitch	1	discredit	active
3886	You would have thought Cam called that women a bitch the way y'all reacted. But Gronk is 'just having fun'.. FOH	0	0	0
761	@LindseyGrahamSC I have watched you talk out of both sides of your mouth for months now. We see you. Nothing but a greedy fame whore.	1	discredit	active
2346	@james_ebo If you feeling like pimp james go ahead and brush your shoulders off⚡️	0	0	0
1952	This is superb. Practical guide for rights of women esp at divorce and rape in marriage. @HHbruichladdich @RehmanYasmin @SBSisters https://t.co/DTWy7j77Ri	0	0	0
1647	tf yall hoes so mad bc a bitch in harm's way everyday for	1	discredit	passive
2112	ram demon covered in wax who only mutilates politicians. 6/10, might eat you ❤︎	0	0	0
562	Flirting 2016 Me- ma'am can you pull your pants down please? Her- umm excuse me?! Me- I believe there may be a Pokemon in your vagina	1	sexual_harassment	active
670	What an absolute cock womble this cunt is. Does she also alude to the fact she recieved FREE university education aswel. https://t.co/sEo9SBVrbk	1	discredit	active
784	@Deeejjaaa if I get one more email from your ass ima blow that bitch up	1	discredit	active
3916	Asked Jacob why he was such a whore when we split up, & he said 'to piss you off & it worked' bitch you thot 😂	0	0	0
1961	Hope your PlayStation blows up you silly cunt https://t.co/5U7FUMyut9	0	0	0
2522	My 20' vs my 30's https://t.co/AEAbL9B1fW	0	0	0
3758	ALISA AND I AND ONE OTHER COOL GIRL JUST HAD TO FIGHT THIS NOT ALL MEN DICKHEAD I HOPE HEFUCKING DIES	0	0	0
1861	don't watch me you better just watch yo nigga ho	0	0	0
2998	I wonder who the first person to think of a sewage system was... I mean there must have been shit everywhere	0	0	0
1220	you’re not going to tell me to say happy birthday to someone that called me a cunt and a slut within the span of 10 minutes	1	discredit	active
3746	Not all men cheat. Not all women cheat. It’s equal now move tf and get over it 🙄	0	0	0
1164	You are so hot but you're a bitch so that cancels out your hotness! #WomenSuck	1	discredit	active
666	@xWildKitty @iball @Maxxllovesya @Twitch Or stop being a whore on twitch you rat	1	discredit	active
207	Women want to be equal so now they don't shave their legs??? Gross*	1	discredit	passive
1784	@jellsoval You’re just a dumb little cunt who had an abortion to go be a hoe, and you eat your tampons tryna be “fe… https://t.co/UtFOtQ1C19	1	discredit	active
1079	I kinda want to see you again just so I can punch you in the kidney. #WomenSuck	1	sexual_harassment	active
2449	Feminists' husbands #ThingsTimHowardCouldSave	0	0	0
488	@miakhalifa This bitch waaay to much shit to talk about athletes like your literally a professional slut stay in your lane	1	sexual_harassment	active
1653	@XOKATANA We have to slap a bitch made hoe ass foo we gon make it look sessy hahaha	1	sexual_harassment	passive
2752	I won't be satisfied until I'm so famous that I can't go out in public... Cause at least then I'll have a good excuse not to go out	0	0	0
2621	I never smile and I hate to brag but I can say 'cheese' without smiling too	0	0	0
2634	When the whole squad is coming over for dinner https://t.co/gHfjpk7yAv	0	0	0
1966	@midhatkidwai @slavish @polysmind what is the name of the hole from where your shit?? dou you shit from your brain?… https://t.co/wWsASwAiH3	0	0	0
2713	When you gotta hit the block at 8 but gotta chop a tree down at 6 https://t.co/5Lv3SiQMdh	0	0	0
1156	Woman that tell guys 'I just wanna be single for the summer.' are just trying to whore around. Don't come crying to us guys come Fall!	1	discredit	passive
2544	When I'm trying to figure out how my dick hasn't fallen off yet https://t.co/dJapP8DPAT	0	0	0
3565	When you're trying to text your fuckboy but your boyfriend won't stop looking over your shoulder https://t.co/eijg9AIMqW	0	0	0
944	cringemuch .When women get panicked&start getting hysterical when having a standard delivery. Everyone knows save energy,focus&push.	1	stereotype	passive
3931	Because it’s easy to call women those things when the one hurting you repeatedly acts like he wasn’t being the slut and whore himself.	0	0	0
1502	Why do women use them being on their period as a excuse to be a cunt? You had it since you were 13 you can’t control yourself?	1	stereotype	passive
1973	71-32-6, you literally aren't good enough to win 1/3 of our meetings. Go back to your hole https://t.co/ioHtEAzEjh	0	0	0
659	this hoe gone say ' I want some dick but not in my vagina' like girl 😭😭😭😭	1	discredit	active
1514	I’m pretty sure rape is “overly sexual” why don’t you shut the fuck up and stop being such an ignorant little cunt https://t.co/n9RVrq0K2I	1	dominance	active
2677	You ever open Facebook and think 'Jesus Christ, these fuckin idiots again'? Cause same	0	0	0
4018	@usacsmret @NotBenStone1 @LifeZette She clearly thinks women are stupid! Bitch needs to take a seat.	1	discredit	passive
2623	When you have to work tomorrow and your coworker says 'happy Friday' https://t.co/3RY4JxQpan	0	0	0
299	@nonracialnigger Wow shut up you whore	1	dominance	active
2837	@gypsyog guy or girl?	0	0	0
4030	If you need a laugh or if you have '80HD' (You'll get that in a sec...), these are hysterical. https://t.co/ASoFljGF9s	0	0	0
2369	Speaking of creepy. This narcissist sounds like a creepy guy on the run from a rape charge. Being Putin's bitch not that satisfying? https://t.co/xiJxVQ2HCg	0	0	0
717	i bet everyone is like damn this bitch stupid she was proposed to and she keeps calling nicky her gf not her fiance	1	discredit	active
3976	OKAYYY NOW WHAT THE FUCK IS THIS SHIT u lil cunt ass bitch https://t.co/On8XGp6EGg	0	0	0
127	Your girl is a hoe, she fucked all my bros	1	discredit	active
3259	Men ( not all men ) should realize that women are on their job to work and not be taken for some s. e. x. Toy. https://t.co/OgBaeCZt1p	0	0	0
1676	Now All These Hoes Talking Bout THEY NEED A GUCCI BITCH BE YOSELF	1	discredit	passive
1716	'Oh so when a man sleeps with lots of women he's cool but when a woman sleeps with lots of men she's a hoe?' YES	1	stereotype	passive
829	What is the difference between a woman and a catfish? One is a bottom feeding scum sucker and one is a fish	1	discredit	passive
2954	All summer 16 https://t.co/tGQcT8CrAq	0	0	0
1239	@JoeFreedomLove Laugh you bitch when a family member dies we on tweeter get the last laugh you slut	1	dominance	active
3151	Son- mom, how did you and dad meet? Mom- he had on gray sweats and his dick print was fleekin so I slid in his DM https://t.co/uCc4uH9yui	0	0	0
3496	🙄Says a colored woman of a race that claims to have a ' Hysterical Fear ' of the Police. 🤫 https://t.co/CDO6cgCizf	0	0	0
3018	Me trying to flirt- Hey cum dumpster, wanna fuck?	0	0	0
2731	loooooooooooool I don't date, sweetheart. Just dick appointments https://t.co/joAwRmDQ0J	0	0	0
2492	An hour into 'paycheck &; bills' and you realize you really need to start selling drugs https://t.co/nGBj6yHCBi	0	0	0
1197	But let's blame the women for being in the military in the first place eh you fucking cunt smear https://t.co/k7245gfjA4	1	discredit	active
2038	Life a hoe but gaw damn shit just so good when you hitting it right	0	0	0
175	No one gives less fucks than the guy that comments 'check your DM, ma' on bitches posts	1	discredit	passive
1541	you seem like the type to have a rape kink? — ummmm well ok bitch https://t.co/jASrWs51GP	1	sexual_harassment	active
3271	@TheOfficerTatum Of course not all men!!! That's not the problem! Women don't stop being abused by creeps just beca… https://t.co/jWQILCnlA2	0	0	0
2773	Me trying to flirt- https://t.co/y03LARU8S9	0	0	0
998	#WeAlmostDatedBut FRIEND ZONED #WomenSuckk	1	discredit	passive
1462	@TODAYshow @benshapiro @megynkelly Many women aren’t innocent! Megyn is an attention whore who lies to keep herself relevant.	1	discredit	active
3946	Men Keep Control & Dominance over Women w/ Sexual Socialization Fear & Violence. They Molest Rape Lust Cheat Like Porn & Whores	0	0	0
518	Kanye got the whole family dressin like the trashy whores they are https://t.co/6cXa0Udzv1	1	sexual_harassment	passive
1403	@FoxNews Don’t trust this lying bitch let’s see if any of the other nude women in the lineup come forward she’ll do… https://t.co/KrpL0mPkSL	1	discredit	active
2946	RT @themeredith: That awkward moment when you're on a date and 'Daddy YFB' texts you...and your phone is face up on the table...@Yourfuckbo…	0	0	0
2102	Nelly's rape accuser says she wants the case dropped: The woman who accused rapper, Nelly of rape, has refused to… https://t.co/KOlQAorwkr https://t.co/grhnsn7YgO	0	0	0
3043	Do you ever see people in your feed and think 'lol I fucked you'	0	0	0
1638	next bitch that cheat on me getting pimped out, you wanna be a hoe bout shit so we gon make this money	1	sexual_harassment	passive
3093	@instagram ok guys, jokes over... We all had a good laugh, you can give me my account back now 🤗	0	0	0
1247	@ky11er almost everyone i’ve met says edating at all is being a slut or whore but jumping from person to person is definitely being one mate	1	derailing	passive
3485	Response to @mduanemd=hysterical. Many women suffer serious BC side effects. Why SO OFFENSIVE to offer alternatives? https://t.co/48VAIxOzWh	0	0	0
1282	@MSNBC U people @MSNBC r pos. liars. More fake news. U should offer 5 women to Obama. w that skank wife he has he would take the offer.	1	discredit	active
1760	old person: did you buy that shirt with holes in it? me: yes it’s called fashion bitch look it up	1	discredit	active
983	Cant believe they hired a WOMAN and NOT ME!!!! I guess McDOnalds #hatesmen? #mickyDhasnoD #fuckyouRonald..	1	derailing	passive
2985	When you're on a first date and they're already too clingy and touchy feely https://t.co/A5eReObkAr	0	0	0
389	#YesAllWomen should stay in the kitchen	1	stereotype	passive
3020	When your Mexican friend texts you 'viva la Mexico' on the 4th of July https://t.co/cH6Jrqmx2K	0	0	0
1616	@guardian WHAT some of these BITch Part starlets promote to young is worse than rape it is rape of young minds. What goes around comes around!	1	derailing	passive
2092	@RobertGBeckel Bobbys a little butt hurt today. Go have a drink and STFU you are the a**hole. I've lost all respect for you. I used to think you spoke real	0	0	0
789	Love how going to an all girls school gives you a sixth sense for life of knowing when a woman is an absolute bitch	1	discredit	passive
2470	Follow my blog. See the men who *are*fighting for men's rights. #Zakatus #misandryisreal #teens #NaturalRights http://t.co/6n4V9kBtya	0	0	0
3475	@manwhohasitall To whom? Other hysterical men? Sure. To women who are the keepers of logic and reason? Hardly. They… https://t.co/8elXu7jXYt	0	0	0
3067	I wanna care sometimes, but this 'fuck it, who cares' attitude is too strong	0	0	0
840	#Women are naturally lazy. This is why #feminism is popular as they want privilege without responsibility. http://t.co/6n4V9kBtya laxy	1	discredit	passive
2832	If you don't have haters you're doing somethin wrong... I got haters, stalkers and people that just plain don't like me... Luh u hoes	0	0	0
296	I'm just over here laughing at how this little ol' white girl came at Sam and thought she was gonna win... LIKE BITCH DO YOU KNOW WHO WE ARE	1	dominance	active
3476	@Women_Of_Christ There are men who make women cry and then complain about hysterical, irrational females. https://t.co/3Wt3P9TwOo	0	0	0
1533	“Rape a pregnant bitch and tell my friends I had a threesome” is the smartest lyric I’ve heard in a while	1	sexual_harassment	passive
4005	@RyanAFournier She's an uppity racist bitch and those women are stupid for being there and giving her the time of day.	1	discredit	passive
557	Invite her over, play Rihanna 'Sex with Me' on repeat, then give her the worst sex of her life... #wastehertime2016	1	sexual_harassment	active
3548	When you get caught stealing lemonade https://t.co/XQpYVHd6m2	0	0	0
3495	This woman has some nerve. To even speak right now is beyond hysterical considering what's right around the corner… https://t.co/9CNbyBTgSG	0	0	0
3397	@benshapiro @JONEEFRY I cant believe you havent blocked that slimy skank yet	0	0	0
2673	When cuffin season is finally over https://t.co/qQ9lMPGlWT	0	0	0
719	I pampered the bitch and she went and abandoned the kid for some amateur dick 🤦🏽‍♂️	1	discredit	active
3693	everyone calls elly a slut or whore but where in the hell is the evidence ?	0	0	0
2499	@chivelicious 😘😘😘	0	0	0
1884	That was it when Dick Rickles; ? You all want do w/ 248 Mtn Shrod?	0	0	0
3727	Not all women are victims. Not all men are guilty of assault. - National Review https://t.co/OJT9EQmDrt	0	0	0
1008	@Corter_back I know. It must be so hard waiving pom poms around at this hour #WomenSuck	1	discredit	passive
2022	@AlfieKent98 Grow up you slag	0	0	0
1713	A hoe wants attention a women wants respect.	1	discredit	passive
3677	@emanithegoddess @jaythenerdkid I’m still not sexually active and still get called a whore or a slut all the time	0	0	0
2911	A lot of people make me laugh, very few make me smile	0	0	0
992	This bitch out here settin up dick appointments and your lame ass can't even get a text back https://t.co/a42yzUSTCY	1	discredit	active
3296	It may well be 'not all men' but it's effected every woman and girl in some way, shape or form. And it IS the responsibility of ALL men...	0	0	0
2992	Pro Tip- Never go down on someone that has food poisoning	0	0	0
1684	Where tf are you ! I miss your white black ass hoe ! Mf c*ck sucking whore ‼️💖❣️😘 https://t.co/H0h8Kjsb5P	1	sexual_harassment	active
1233	So my mom called me a nasty slut because I got a tattoo lmao that bitch is crazy	1	discredit	active
314	@imogenhowson LOL, you do dress like a slut :-) you look excellent.It entertains me that you have the slutty dressing covered while I do the slutty acting	1	derailing	active
2822	When she thinks she won the argument but you tell her 'hold TF up' then flip the whole thing on her ass https://t.co/PBAOxfOdiA	0	0	0
2588	When you win the lesbian olympics https://t.co/8mdtFKk5sw	0	0	0
2367	the simple fact of you calling a girl hoe just because she rejected you shows how much you didn’t deserve her.	0	0	0
3128	@keef1985_ @Vaughan1878 idk buddy, I'm not a meme historian	0	0	0
2342	Yo i hate being a freakin woman where can i grow my new dick	0	0	0
2167	As you get ready for the Black &amp; Gold game today here are 5 things you can say to the person next to you to make you sound like a Ram fan...	0	0	0
1748	@RepWilson How does a wretched ugly BITCH show joy at being a wretched bitch. Wilson crawl into ur hole & disappear	1	discredit	active
1455	#MeToo women always blame men for everything . How about not dressing like a whore?	1	derailing	passive
144	@StaleDoritos Women are ridiculous lmao like bitch I’m 5’2. I’m sorry your crush went for a shorty 😂	1	discredit	passive
637	@momosyaoyorozus guilty gear you fucking whore	1	discredit	active
1356	I need someone to watch the tv show atypical on Netflix and talk to me about how much of a dummy cunt bitch the mom is in it please.	1	discredit	passive
1409	Y’all expect women to settle for trash treatment and then call them riders when they do so... the bitch is lonely and insecure, not a rider.	1	discredit	passive
3104	Yeah last week. Using @ your_fuckboy_ for now https://t.co/TtLECarkZo	0	0	0
1130	RT @JWMofficial: I don't see why drinking and driving is such a big deal. Letting women drive is just as hazardous!	1	stereotype	passive
3297	Y’all know how many times a woman has said she’s been harassed or something of the sort and guys be like “well not all men.....” ..	0	0	0
1225	my ‘friend’ who’s a bitch slut shamed one of the girls i work with today because she has a child	1	discredit	active
1232	So many sluts texted Stephen when we got Lionel 'our cats look the same!' Bitch 95% of house cats in the US are domestics, stay in your lane	1	dominance	active
2857	When someone with stank breath tries talking to you https://t.co/ASyQxZrM3u	0	0	0
3988	@iAmAchmad You can't call anyone a whore when you're taking up the ass from your father cunt.	0	0	0
350	a women without a man is like a car without an engine; it doesnt work.	1	dominance	passive
724	“She a hoe” “She ugly” “She fat” “Her head trash” “Her pussy dry” “Her pussy stank” https://t.co/6ny17KEyJb	1	discredit	active
